rank,paper_id,extraction_timestamp,new_count,cumulative_count,in_final_window
250,doi:10.1553/giscience2023_01_s140,2026-04-17T11:37:32.486831+00:00,2,625,False
251,doi:10.1109/saner56733.2023.00070,2026-04-17T11:37:37.785135+00:00,1,626,False
252,doi:10.1109/rew57809.2023.00048,2026-04-17T11:37:41.771996+00:00,1,627,False
253,doi:10.1109/rew57809.2023.00052,2026-04-17T11:37:59.766880+00:00,4,631,False
254,doi:10.1145/3582083,2026-04-17T11:38:03.041793+00:00,0,631,False
255,doi:10.1109/iccp60212.2023.10398656,2026-04-17T11:38:03.488822+00:00,2,633,False
256,doi:10.18653/v1/2023.findings-emnlp.901,2026-04-17T11:38:05.384555+00:00,2,635,False
257,doi:10.1109/ase56229.2023.00206,2026-04-17T11:38:07.680281+00:00,3,638,False
258,doi:10.13052/jwe1540-9589.2263,2026-04-17T11:38:08.609091+00:00,2,640,False
259,doi:10.1145/3491102.3517582,2026-04-17T11:38:18.121287+00:00,1,641,False
260,doi:10.3389/fpsyg.2022.868698,2026-04-17T11:38:22.613384+00:00,4,645,False
261,doi:10.1145/3491101.3519665,2026-04-17T11:38:25.706043+00:00,0,645,False
262,doi:10.1145/3491101.3519729,2026-04-17T11:38:29.426136+00:00,5,650,True
263,doi:10.1145/3520312.3534864,2026-04-17T11:38:41.900000+00:00,2,652,True
264,doi:10.1145/3643758,2026-04-17T11:38:52.786839+00:00,2,654,True
265,doi:10.1145/3798166,2026-04-17T11:38:55.059114+00:00,5,659,True
266,doi:10.1145/3643773,2026-04-17T11:38:55.318613+00:00,4,663,True
267,doi:10.1145/3772318.3790459,2026-04-17T11:39:02.649908+00:00,3,666,True
268,doi:10.1145/3704611.3704621,2026-04-17T11:39:03.028765+00:00,1,667,True
269,doi:10.1145/3801972,2026-04-17T11:39:03.164565+00:00,1,668,True
270,doi:10.1145/3772363.3799079,2026-04-17T11:39:11.535598+00:00,2,670,True
271,doi:10.1145/3772318.3790874,2026-04-17T11:39:17.614125+00:00,2,672,True
272,doi:10.1145/3660788,2026-04-17T11:39:23.884314+00:00,2,674,True
273,doi:10.1145/3772318.3790622,2026-04-17T11:39:29.508913+00:00,1,675,True
274,doi:10.1145/3772318.3791441,2026-04-17T11:39:36.056530+00:00,1,676,True
275,doi:10.1145/3772363.3798531,2026-04-17T11:39:36.377168+00:00,0,676,True
276,doi:10.1145/3772318.3790500,2026-04-17T11:40:00.289089+00:00,1,677,True
277,doi:10.1145/3801978,2026-04-17T11:40:01.413362+00:00,3,680,True
278,doi:10.1145/3772318.3791365,2026-04-17T11:40:01.716140+00:00,5,685,True
279,doi:10.1145/3772363.3798543,2026-04-17T11:40:04.126078+00:00,2,687,True
280,doi:10.1145/3772318.3791851,2026-04-17T11:40:26.225998+00:00,3,690,True
281,doi:10.1145/3715014.3722064,2026-04-17T11:40:31.367627+00:00,2,692,True
282,doi:10.1145/3729355,2026-04-17T11:40:34.532471+00:00,1,693,True
283,doi:10.1145/3806655,2026-04-17T11:40:47.978466+00:00,3,696,True
284,doi:10.1145/3793252,2026-04-17T11:40:49.028198+00:00,2,698,True
285,doi:10.1109/compsac61105.2024.00156,2026-04-17T12:27:00.012252+00:00,2,700,True
286,doi:10.1109/vl/hcc60511.2024.00020,2026-04-17T12:27:02.734486+00:00,1,701,True
287,doi:10.1109/icsa-c63560.2024.00059,2026-04-17T12:27:02.824430+00:00,1,702,True
288,doi:10.1145/3696630.3728611,2026-04-17T13:25:54.435150+00:00,2,704,True
289,doi:10.1145/3746059.3747778,2026-04-17T13:26:02.850767+00:00,2,706,True
290,doi:10.1007/s10664-025-10658-6,2026-04-17T13:26:12.538425+00:00,2,708,True
